global_step_index,activity,step_index,variation,variation_index,headline,paragraph
4975,Make Succotash,9,C,C2,Cook the succotash.,"Cover your slow cooker. Place your slow cooker on low and let the succotash cook for seven to nine hours. Alternatively, you may cook the succotash on high for three-and-a-half to four-and-a-half hours."
4976,Make Succotash,10,C,C3,Serve the succotash.,Uncover the succotash and transfer it to a serving dish. Enjoy this traditional American side dish!
4977,Make Cheesy Salsa Mini Meat Loaves,0,none,1,Gather all of the cooking utensils and ingredients you will need.,;
4978,Make Cheesy Salsa Mini Meat Loaves,1,none,2,Preheat the oven to 400 degrees (F).,"By the time you're done mixing the ingredients together, the oven will be ready to cook the meatloaf!"
4979,Make Cheesy Salsa Mini Meat Loaves,2,none,3,"Mix the egg, ground beef, crackers, onions, 1 cup of cheese, and 1/2 cup of salsa thoroughly in a mixing bowl.","For Beginners, you may want to crack the egg in a separate bowl first so you can easily get out any part of the shell that came with the egg."
4980,Make Cheesy Salsa Mini Meat Loaves,3,none,4,Spray the muffin pan with non-stick cooking spray or coat lightly with edible oil.,
4981,Make Cheesy Salsa Mini Meat Loaves,4,none,5,Press the mixture evenly into each of the 12 muffin cups.,"Using the spoon, make a small indention in the center of each. Make sure the indention's are not too small because you want to leave enough room for the rest of the salsa and cheese."
4982,Make Cheesy Salsa Mini Meat Loaves,5,none,6,Bake for 20 to 25 minutes or until the meat loaves have reached an internal temperature of 165 degrees (F).,
4983,Make Cheesy Salsa Mini Meat Loaves,6,none,7,Remove the pan with oven mitts and top the meatloaves with the rest of the salsa and cheese.,Be careful not to touch the pan while adding the ingredients because it's still hot.
4984,Make Cheesy Salsa Mini Meat Loaves,7,none,8,Bake for 3 more minutes or until the cheese has melted.,Let the meatloaves cool so you can easily remove the meatloaves from the pan.
4985,Make Cheesy Salsa Mini Meat Loaves,8,none,9,Grab a plate and enjoy!,
4986,Cook a Veal Roast,0,none,1,Preheat oven to 350 degrees (turn down temperature to 325 degrees after one hour).,;
4987,Cook a Veal Roast,1,none,2,Cover meat with a layer of mustard.,"Place half of the onions over the bottom surface of your roasting pan. Place veal on top of onions. Sprinkle onion soup mix all over the meat, allowing some to fall to bottom of pan. Do the same thing with the garlic powder, paprika, thyme, salt and pepper - allow a bit to fall to bottom of pan. Drizzle oil over top of roast. Add some water or wine, if desired, to bottom of roasting pan, only enough to make it 1/2"" deep."
4988,Cook a Veal Roast,2,none,3,"You also choose to add vegetable, chicken or beef stock to the pan instead of water or wine.",A combination of liquids can also work - it depends on your taste preferences.
4989,Cook a Veal Roast,3,none,4,"Cover the roasting pan and place in the oven, cooking for about 1 hour per kilo (2.2 lbs.) basting every 30-40 minutes."," If pan becomes too dry, add some water (or wine) to allow for moist cooking and the creation of a flavorful sauce."
4990,Cook a Veal Roast,4,none,5,"After one hour, turn heat down to 325 degrees.",
4991,Cook a Veal Roast,5,none,6,"Remove from oven and once cooled, refrigerate for 4-5 hours or overnight.",You may slice the meat the next day or reheat as a one large piece.
4992,Roast Brussels Sprouts,0,A,A1,Trim the Brussels sprouts.,Remove any scrawny outer leaves. Halve each sprout lengthwise.       ;
4993,Roast Brussels Sprouts,1,A,A2,Preheat the oven to 400ºF/200ºC.,"If the baking pan is not nonstick, line with parchment paper to prevent sticking."
4994,Roast Brussels Sprouts,2,A,A3,Place the Brussels sprouts halves into the baking pan.,Add the olive oil and gently toss with your fingers to coat the sprout halves.
4995,Roast Brussels Sprouts,3,A,A4,Season with salt and pepper.,"Again, gently toss through. Ensure that all the halves are sitting evenly across the pan when done."
4996,Roast Brussels Sprouts,4,A,A5,Place in the preheated oven.,Roast until the Brussels sprouts halves turn a deep golden brown and are crispy. This will take about 30-35 minutes.
4997,Roast Brussels Sprouts,5,A,A6,Remove from the oven.,Serve either individually on warmed plates or in a single bowl for self-serving.
4998,Roast Brussels Sprouts,6,B,B1,Trim the Brussels sprouts.,Remove any scrawny outer leaves. Halve each sprout lengthwise.
5000,Roast Brussels Sprouts,8,B,B3,Place the Brussels sprouts halves into the baking pan.,"If using pancetta, add now."
5001,Roast Brussels Sprouts,9,B,B4,Drizzle over the olive oil and add the salt and pepper.,Toss gently with your hands. Ensure that all the halves are sitting evenly across the pan when done.
5002,Roast Brussels Sprouts,10,B,B5,Place in the preheated oven.,"Roast for 20 to 30 minutes. About halfway through, toss again and return to the oven."
5003,Roast Brussels Sprouts,11,B,B6,Remove from the oven when browned.,Immediately drizzle with the balsamic vinegar. Toss through.
5004,Roast Brussels Sprouts,12,B,B7,Serve hot.,
5005,Cook Spaghetti alla Carbonara,0,A,A1,Start a pot of boiling water and cook the pasta.,;
5006,Cook Spaghetti alla Carbonara,1,A,A2,"Combine the eggs, cheese, salt and pepper in a small bowl and beat with a fork.","Add only enough cheese to make it somewhat thick. If it looks like cake batter, you have added too much cheese."
5007,Cook Spaghetti alla Carbonara,2,A,A3,Add some olive oil to a small saucepan and cook the pancetta thoroughly.,Keep warm until pasta is done.
5008,Cook Spaghetti alla Carbonara,3,A,A4,Add the pasta and pancetta to the bowl and begin stirring gently.,The grease from the bacon and the heat from the pasta will cook the eggs enough to prevent disease.
5009,Cook Spaghetti alla Carbonara,4,A,A5,Finished.,
5010,Cook Spaghetti alla Carbonara,5,B,B1,"Slice bacon into 1/2"" pieces and put in fry pan (don't turn on stove heat yet).",
5011,Cook Spaghetti alla Carbonara,6,B,B2,Bring water to boil in the heavy pot for the pasta.,
5012,Cook Spaghetti alla Carbonara,7,B,B3,"Once the water is boiling, put the pasta in and set a timer for 10 minutes.",
5013,Cook Spaghetti alla Carbonara,8,B,B4,Turn on heat under the fry pan to medium-high to begin cooking the bacon.,
5014,Cook Spaghetti alla Carbonara,9,B,B5,"Cook the bacon - adjusting the heat as necessary to render fat out of the bacon, but avoid cooking the bacon to the crispy stage - you really want it soft and just slightly browned.",
5015,Cook Spaghetti alla Carbonara,10,B,B6,Timing is critical - you should be able to have the bacon cooked in the 10 minutes it takes to cook the pasta - you may need to lower the heat to keep the bacon hot.,
5016,Cook Spaghetti alla Carbonara,11,B,B7,Quickly dump the pasta in the strainer and shake quickly to remove excess water - do not rinse - return to the hot pot you used to boil the pasta.,
5017,Cook Spaghetti alla Carbonara,12,B,B8,Pour the contents of the fry pan (bacon and fat) over the pasta in the pot and begin to stir - coating the pasta with the bacon fat.,
5018,Cook Spaghetti alla Carbonara,13,B,B9,Add the beaten eggs and continue to stir - the eggs will cook from the heat of the bacon fat and hot pasta (and still hot pot).,
5019,Cook Spaghetti alla Carbonara,14,B,B10,Add the grated Parmesan cheese and continue to stir - the cheese will melt from the heat of the bacon/pot.,
5020,Cook Spaghetti alla Carbonara,15,B,B11,Begin to sprinkle in the course ground pepper - stirring - until the pasta mixture is speckled with pepper - typically over a tablespoon of course ground pepper - more or less to taste.,
5021,Cook Spaghetti alla Carbonara,16,B,B12,Serve immediately - the combination of Parmesan cheese and pepper make this a wonderful dish - it can be served as a side or main dish (depending on serving size),
5022,Make Pho,0,none,1,Collect beef bones.,"Although your pho will get a lot of its flavour from the ingredients you throw into it while cooking, it's a good idea to rely on beef bones for the majority. A lot of beef flavour sinks into bone marrow, making bones a perfect tool for creating hearty broths. It's recommended you fill up a pot with water and put in the bones as early as you can. A broth needs at least 6 hours simmering to complete, and you'll want to replace the bones with meat ingredients at an earlier stage.   On the other hand, you can buy a storebought beef stock for the purpose of your broth. It won't have the same hearty, homemade quality to it, but you'll be able to make the soup in a fraction of the time.;"
5023,Make Pho,1,none,2,Gather your beef parts.,"One of the things that turns off some Western diners to pho is the variety of different beef types in the soup. Ingredients like tendon and bone marrow may seem like weird addition, but they soak in the broth flavour very well and can be recommended as a result. Beef is the standard meat used in pho. Standard rare beef chunks are fine, but the less common pieces can typically be purchased at a butcher's shop.Beef chuck is a common purchase for pho, with lots of fat to go in the soup. Brisket is a flavourful and lighter alternative to chuck. Oxtail and cow shin are great for pho. The bone marrow has lots of gelatin and combines with the broth well. Gelatin is incredibly nutritious and will add to the feeling of warmth you get after eating pho. Beef flank is a lean type of beef. Because it doesn't taste as good once it's been simmered for a long time, it's recommended you place rare thin strips of it in once the dish is finally being served. Chicken isn't recommended as part of a pho soup. It doesn't cook as well in the broth. However, versions of pho do exist with chicken and even pork, so if it sounds like something you might prefer, you should give it a try."
5024,Make Pho,2,none,3,Cut your meat into pieces.,"If you're buying pieces of meat directly from a butcher's store, you may need to cut the beef into chunks for the pho. The chunks should be roughly bite-sized. If you have any doubts, try placing them on a spoon to see whether you need to cut them any further. You can add as much or as little   The pieces should be smaller rather than larger in order to ensure they're properly cooked within the broth."
5025,Make Pho,3,none,4,Cook your beef.,"Cooking beef before adding it to the broth is actually optional. Although it's necessary if you're using a premade beef stock, the beef will cook when it's simmering in the broth. If you're trying to make pho in a faster time, it's a good idea to fry up your meat. Cook it until the meat is pink. Don't cook the meat beyond rareness. If you do, you'll lose the potential for tenderness that many people find so appealing about pho.   Cook the beef in a pan on high heat. Add some canola oil to the pan and let it heat for 30 seconds before you add the beef onto the pan. Let the beef cook on both sides by turning it over. Try to get both sides of each piece cooked evenly. Though you can cook it however you'd like, it's recommended to leave the beef rare. The rest of it can be cooked in the pho broth itself. In order for the beef to cook naturally in the soup, you should set at least 6 hours aside. If there's any doubt, it's probably a better idea to cook your meat to rareness."
5026,Make Pho,4,none,5,Simmer a pot of water in beef bones.,"Beef bones are where you'll get the distinctive broth taste. It's recommended that you let the broth simmer for 3 hours with the beef bones in the soup. From there, the bones should have left their flavour in the broth, and you can replace the bones with the edible beef ingredients.   Add salt to your pot to get a more striking taste."
5027,Make Pho,5,none,6,Replace the beef bones with the beef ingredients.,"Your beef parts should be added three hours after you first put the bones in the broth. From there, the soup should be left to simmer for an additional 3 hours. It's recommended you take out the bones before adding the rest as it can be difficult to extract the bones once the pot is filled."
5028,Make Pho,6,none,7,Throw charred onions and ginger into the mix.Onions and ginger help to give the pho that pleasant smokiness.,"Charred onions have the best effect. Take a pair of tongs and use them to hold onions over a gas-powered stove. From there, chop them up into thin slices and add them to the pho. You will definitely notice the improvement to your broth.   Depending on how much you want the charred onions to inform the broth's taste, you can either add them early on with the beef ingredients, or you can serve it after adding the noodles as a garnish. For the sake of smokiness, it's recommended you add them with the beef."
5029,Make Pho,7,none,8,Boil rice noodles.,"In a separate saucepan, bring water to a boil. From there, take a handful of rice noodles and throw them in. Depending on the thickness of the noodles you're using, it can take up to five minutes for the noodles to properly cook.Once the noodles are sufficiently soft, strain them out of the second saucepan and add them to your main pho pot.   To preserve their form, it's recommended you try blanching the noodles, taking them quickly from boiling to cold water as a way to quickly halt the cooking process. Let the dry noodles into a boil for 10-20 seconds until they have lost their stiffness, then immediately put them under cold water. This will ensure they are cooked properly, but will stop the cooking before they get soggy."
5030,Make Pho,8,none,9,Add vegetables.,"If you're making your own pho, you can practically add whatever vegetables you like into the broth. Because vegetables tamper with the broth's flavour, they should be steamed and added to the broth after it's finished cooking.Carrots and broccoli are most recommended, as they're spoon-sized and compliment the taste of the broth.Carrots are best cut into coin-thin slices so that they best soak up the flavour of the soup.   Get the vegetables to a soft tenderness before adding. They will get softer still once added to the hot broth. The texture shouldn't be resistant to the teeth at all, but the vegetables should retain enough strength to keep their form."
5031,Make Pho,9,none,10,Top with spices.A great cook always tries to make his dish great on the eyes as much as the taste buds.,"Aromatic spices help improve the taste of the pho, but they're also great for adding that visual touch once the basics have been taken care of. Sprinkle cilantro and green onion atop your soup once the broth and main ingredients are ready for eating.   Prepackaged pho spice blends are available, but they aren't recommended if you want the best-tasting pho."
5032,Make Pho,10,none,11,Serve with bean sprouts and lime wedges.The constant friend of pho has always been bean sprouts.,"Bean sprouts are a light and tasty thing to eat alongside your main course. Although you should serve them on a separate plate, the sprouts can be added to the broth once your meat and noodles begin to run out. Lime wedges are a nice touch as well, whether for adding tang to the broth or for fitting in a beverage.   Storebought bean sprouts go bad within a couple of days, so it's a good idea to eat them shortly after they're purchased."
5033,Make Pho,11,none,12,Include sriracha and hoisin sauce.,"Most pho restaurants include a few spicy sauces to sweeten the deal. Whether you want to add these to the broth as you're making it or keep them at hand when you eat it is your decision. Generally speaking, these sauces are great to have when it comes time to eat. Rather than adding them from the start, you should keep them handy to calibrate the taste to your liking.   Don't rely on spicy sauces to mask a weak broth. A top-notch pho won't need any sriracha to be delicious."
5035,Make Pho,13,none,14,Customize your recipe in the future.,"The great thing about pho is that you can customize it to your liking once you have the basic broth and noodles ready.Pho isn't a hard meal to make once you have the ingredients and process down, so it makes sense to play around with the recipe. Do you like extra beef or spice? Make it happen. A big part of the enjoyment in home cooking is the freedom to choose and experiment.   If you've been to many pho restaurants before, you'll know a big thing about pho recipes are the portions and kinds of meat they use in the broth. Simply changing up the portions of one meat in exchange for another can change the experience of the meal."
5036,Make Djon Djon (Haitian Black Rice),0,none,1,Boil about 2 cups of Haitian mushrooms in about 4 cups of water on low heat for 20 minutes;,
5037,Make Djon Djon (Haitian Black Rice),1,none,2,"Strain the mushrooms from the liquid, but keep the liquid.",The liquid will be used as an ingredient for the rice
5038,Make Djon Djon (Haitian Black Rice),2,none,3,"Sauté the onions, and garlic in a lightly-oiled iron-cast pot until they are browned.",
5039,Make Djon Djon (Haitian Black Rice),3,none,4,Add the block of coconut cream block and allow it to melt into the dish.,
5040,Make Djon Djon (Haitian Black Rice),4,none,5,Add and stir in the thyme leaves.,
5041,Make Djon Djon (Haitian Black Rice),5,none,6,"Add the long-grained rice, while continuing to stir.",
5042,Make Djon Djon (Haitian Black Rice),6,none,7,Add the 4 cups of water that was drained off from the boiled mushroom mixture.,
5043,Make Djon Djon (Haitian Black Rice),7,none,8,Add the salt and pepper into the mixture.,
5044,Make Djon Djon (Haitian Black Rice),8,none,9,Stir in the Lima beans or green beans.,
5045,Make Djon Djon (Haitian Black Rice),9,none,10,Bring the mixture to a boil until the water begins to evaporate.,
5046,Make Djon Djon (Haitian Black Rice),10,none,11,Lower the heat and place the bonnet pepper on top of the rice.,Cover tightly and allow to cook for 20 minutes.
5047,Make Djon Djon (Haitian Black Rice),11,none,12,Place this rice dish on a plate and serve.,
5048,Cook Oxtails,0,A,A1,"Combine the oxtails, salt, Balsamic vinegar, garlic, rosemary, thyme, oregano, tarragon, and onion.","Place these ingredients in a large, heavy stock pot.;"
5049,Cook Oxtails,1,A,A2,Cover the ingredients with liquid.,"Pour enough beef broth and red wine into the stockpot to cover the ingredients.   Start with the beef broth and make up the difference with the red wine. If you still do not have enough liquid to cover the ingredients, add a little water or additional broth."
5050,Cook Oxtails,2,A,A3,Stew the oxtails for 2 1/2 to 3 hours.Bring the liquid to a boil over medium-high to high heat.,"After it begins to boil, stir it, cover the pot, and reduce the heat to medium. Let it simmer for 2 1/2 to 3 hours.   Stir the oxtails every 15 to 30 minutes to ensure even cooking. If the liquid is still boiling rapidly after dropping the heat, you may need to drop the heat to medium-low. The oxtails should cook in simmering liquid, not rapidly boiling liquid. Remove the pot from the heat after the designated amount of time has passed."
5051,Cook Oxtails,3,A,A4,Warm the olive oil and flour in a skillet over medium heat.,"Heat the oil first for 30 to 60 seconds before adding the flour. Stir continuously for 3 minutes.   Vegetable oil, bacon drippings, or shortening can also be used instead of olive oil."
5052,Cook Oxtails,4,A,A5,Remove 4 cups (1 l) of liquid from the stock pot.,"Add this liquid to the skillet and stir continuously until a thick gravy forms.   You can also add a few dashes of browning sauce to the gravy to deepen the color. The gravy can be flavored with additional salt, pepper, and garlic powder, if desired. Remove the skillet from the heat."
5053,Cook Oxtails,5,A,A6,Coat the oxtails in the gravy.,"Transfer the oxtails from the stock pot to the skillet, coating them with the gravy by stirring them in. Heat over medium-low for 5 minutes."
5054,Cook Oxtails,6,A,A7,Serve warm.,Allow the oxtails to rest for 3 to 5 minutes before serving.
5055,Cook Oxtails,7,B,B1,Salt the oxtails.,"Rub the oxtails with the salt, using enough salt to coat the meat on all sides. Allow them to sit in a glass bowl at room temperature for 2 hours or in the refrigerator overnight."
5056,Cook Oxtails,8,B,B2,Rinse the salt off.,"Use running water and scrub the salt off with your fingers.   You need to remove virtually all salt from the meat. Otherwise, you will end up with an excruciatingly salty dish by the end."
5059,Cook Oxtails,11,B,B5,Brown the oxtails.,"Add the oxtail slices cook for 5 to 10 minutes, stirring, until they are brown on all sides."
5060,Cook Oxtails,12,B,B6,Add the liquids and seasonings to the pot.,"Fill the pot with the beef broth and Balsamic vinegar. Use enough red wine to cover the top of the meat by 1 inch (2.5 cm). Mix in the rosemary, thyme, oregano, and tarragon."
5064,Cook Oxtails,16,C,C1,Heat the oil in a skillet.,"Use medium-high heat.   Vegetable oil, bacon grease, or shortening may also be used instead of olive oil."
5065,Cook Oxtails,17,C,C2,Season and brown the oxtails.,"Sprinkle the oxtails with enough salt to season them and coat the slices in flour. Add them to the skillet and cook for 5 to 10 minutes or until evenly browned on all sides.   This step could be skipped, but browning the meat beforehand adds a significant amount of flavor to the final dish.Coating the oxtails in flour leads to better browning."
5066,Cook Oxtails,18,C,C3,Transfer the oxtails and other ingredients to the slow cooker.,"Place the oxtails in the slow cooker. Cover with Balsamic vinegar, garlic, rosemary, oregano, thyme, and onion. Pour in the broth and add enough red wine to cover the meat by about 1 inch (2.5 cm).   To make cleaning up easier, you could spray the inside of the slow cooker with nonstick cooking spray. You could also use a nonstick slow cooker liner."
5067,Cook Oxtails,19,C,C4,Cover and cook on low heat for 8 hours.,"You could also cook the oxtails for 3 to 4 hours on high.   Do not stir the contents of the slow cooker or open the lid as it cooks. Doing so could release a significant amount of heat, and you may need to add an additional 30 minutes onto the cooking time simply by opening it for a few minutes."
5068,Cook Oxtails,20,C,C5,Serve warm.,Turn off the heat and transfer the oxtails to a serving platter. Let rest for 3 to 5 minutes before serving.
5069,Make Celery Soup,0,none,1,Wash the celery.,Chop it into small pieces. Dispose of most of the leaves but keep some back.;
5070,Make Celery Soup,1,none,2,Fry the chopped onion in the butter or oil in a large pot or saucepan.,"Fry without allowing it to go brown, over low heat, for about 5 minutes."
5071,Make Celery Soup,2,none,3,Add the celery and fry for another 5 to 10 minutes.,Stir occasionally to prevent the celery or onion from browning.
5072,Make Celery Soup,3,none,4,Pour in the stock or water.,Place the lid on the pot or saucepan. Allow to simmer for 30 minutes. The celery should be tender at the end of the simmering.
5073,Make Celery Soup,4,none,5,Remove from the heat.,Allow to cool a little. Pour the soup into a blender or a processor. Puree it until smooth. Season to taste.
5074,Make Celery Soup,5,none,6,Return to the pot or saucepan.,"Reheat very gently; you don't want it to get hot, just nicely warmed."
5075,Make Celery Soup,6,none,7,Serve.,"You can sprinkle grated cheese on the bowl if wished, or some chopped celery leaves from those you've kept back."
5076,Make Crepes Suzette,0,none,1,Make the caramel by placing the frying pan over high heat.,;
5077,Make Crepes Suzette,1,none,2,Add the sugar and water.,
5078,Make Crepes Suzette,2,none,3,Stir to mix thoroughly using the wooden spatula.,
5079,Make Crepes Suzette,3,none,4,Cook over high heat 2 minutes until start to thicken and turn into caramel.,
5080,Make Crepes Suzette,4,none,5,Add the butter once the water evaporates and small bubbles form in the pan.,
5081,Make Crepes Suzette,5,none,6,Mix butter mixture well.,
5082,Make Crepes Suzette,6,none,7,Add the orange juice and mix well.,
5083,Make Crepes Suzette,7,none,8,Add the lemon juice and mix well.,
5084,Make Crepes Suzette,8,none,9,Reduce the mixture for about 30 seconds to thicken the sauce.,
5085,Make Crepes Suzette,9,none,10,Fold the crepes into quarters and add them to the skillet to heat them.,
5086,Make Crepes Suzette,10,none,11,Heat crepes for 1 minute.,
5087,Make Crepes Suzette,11,none,12,Move the crepes with the wooden spatula to help incorporate the sauce while heating the crepes in the frying pan.,
5088,Make Crepes Suzette,12,none,13,Heat the crepes until they are very hot to help the liqueur burn when lit by a match.,
5089,Make Crepes Suzette,13,none,14,Pour the Grand Marnier over the crepes.,
5090,Make Crepes Suzette,14,none,15,Light with a match to flambe the crepes.,Use extreme care when lighting the crepes.
5091,Make Crepes Suzette,15,none,16,Flambe for 5 seconds.,
5092,Make Crepes Suzette,16,none,17,Place 1 crepe on each dessert plate.,
5093,Make Crepes Suzette,17,none,18,Drizzle some of the orange sauce over each crepe.,
5094,Make Crepes Suzette,18,none,19,Serves 4.,
5095,Fillet a Rainbow Trout Fish,0,none,1,Wash the fish with water under the tap;,
5096,Fillet a Rainbow Trout Fish,1,none,2,Cut the fish you will need a sharp fillet knife.,"If you don't have one, find the sharpest knife you have."
5097,Fillet a Rainbow Trout Fish,2,none,3,Start to cut at the bottom hole located on the stomach by the tail.,Cut all the way up to the gills.
5098,Fillet a Rainbow Trout Fish,3,none,4,When the stomach is open you will see intestines.,"You will have to clean everything including the bones. When taking the bones out, you can use your hands to remove them, but make sure the intestines and the bones are removed."
5099,Fillet a Rainbow Trout Fish,4,none,5,Remove the head.,You will now look for the gills and placing your knife closest to the head and start cutting.
5100,Fillet a Rainbow Trout Fish,5,none,6,"When removing the tail, you will need to start cutting 1 inch (2.5 cm) above the tail.",
5101,Fillet a Rainbow Trout Fish,6,none,7,Double check for any bones or intestines.,
5102,Fillet a Rainbow Trout Fish,7,none,8,"Start where you have cut the tail when you are ready to remove the skin, so when you slowly remove the skin all the way to the front where you have cut the head of the fish.",It should peel really nice but you need to make sure that you peel everything or else you will be picking the skin off.
5103,Fillet a Rainbow Trout Fish,8,none,9,Fire up the BBQ and start cooking or place it in the freezer for later enjoyment.,
5104,Make Eggs in a Basket,0,A,A1,Cut a hole in the bread.,"In the middle of the bread, cut a hole with approximately a 2-inch diameter. An alternate way to prepare the bread is to cut a square into the bread with a knife.   Choose any bread you like. White, wheat, sourdough, baguette, rye - anything you'd like will make a tasty dish. You can make a hole with a glass, a jar, or the top to cooking spray. Press the item into the bread and the hole should be easily removed. To make a treat for the kids, you can also use fun-shaped cookie cutters to cut out the shape in the middle. Suggest that they use the remaining cut-out piece to dip in the yolk. For a romantic breakfast, use a heart-shaped cookie cutter to cut out the center. If you don't have a cookie cutter, try cutting a heart with a knife.;"
5105,Make Eggs in a Basket,1,A,A2,Fry the bread.,"Add butter to the frying pan. While the butter is melting in the pan, spread more butter on both sides of the bread. Place the bread in the pan. Fry the bread on medium until it begins to brown.Flip the bread over. Allow this bread to cook until it is a golden brown.   You can butter the removed ""hole"" and fry it along with the egg for an added treat. Many people dip this bread into the yolk. You can also use vegetable, coconut, or grapeseed oil instead of butter."
5106,Make Eggs in a Basket,2,A,A3,Add the egg.,"Before placing the egg in the hole, add more butter to the pan in the open hole of the bread. Crack the egg open and drop the egg into the hole.   If you would like less whites in the dish, separate the egg whites from the yolks. Place the yolk in the hole and add a small amount of whites. This will cause the egg to cook faster.Add ham or bacon to the egg, place a piece of cheese on top of the bread, or you can add spices, such as salt, pepper, or paprika for a slight variation."
5107,Make Eggs in a Basket,3,A,A4,Fry the egg.,"Let the egg cook for an additional minute or two. Then, carefully flip the bread to fry the other side. Make sure the egg whites are fully cooked. The whites should not be runny or jiggly.Before you flip the bread and egg, lift the edge of the bread up with a spatula. Make sure the egg has solidified and started to brown before you flip it over.The egg will start to set into the bread when it is done. If you like runnier eggs, cook for less time. If you like harder yolks, cook for longer.Try spraying the top of the uncooked side with some cooking spray or adding butter before flipping to make sure it doesn't stick. If you wish, season with salt and pepper, or even paprika and other spices, as you cook eat side of the egg."
5108,Make Eggs in a Basket,4,A,A5,Serve.,Place your eggs in a basket on a plate. You can eat it with a fork or like a piece of toast.
5109,Make Eggs in a Basket,5,B,B1,Preheat oven to 400°.,"Spray ramekins or a muffin pan with cooking spray, or line them with parchment paper."
5110,Make Eggs in a Basket,6,B,B2,Place bread in ramekins.,"Butter the bread on both sides and fit into the ramekins or muffin pan. Press them gently into the ramekins, allowing the edges to fold over each other.   Since this recipe is baked instead of fried, it is a healthier, calorie friendly variation. To cut calories and make a healthy dish, choose bread with less calories and carbs. To cut even more calories, do not butter the bread. Instead, place it in the ramekins as is. Another variation is to cut holes into a loaf of French bread instead of placing bread into the ramekins.Baking eggs into a French loaf is not a healthier, lower carb, calorie friendly option."
5111,Make Eggs in a Basket,7,B,B3,Bake the eggs.,"Break one egg into each ramekin or muffin tin. Place into the oven and bake for approximately 20 minutes, or until the egg whites are cooked. If you would like harder yolks, cook for longer."
5112,Make Eggs in a Basket,8,B,B4,Remove from oven.,"After letting the ramekin or muffin tin cool, remove the bread bowls and place onto plates. Use a knife to loosen if the bread has stuck to the pan.   Sprinkle seasonings such as salt, pepper, paprika, or garlic on top for flavor. Other options include topping with shredded cheese, bacon or ham, tomatoes, or avocado."
5116,Cook Prime Rib,0,none,1,Select the type of Beef Bone-In Rib Roast you want.,"This may not be called ""Prime Rib"" at your local grocery store or butcher's as ""prime"" is a grade used by the USDA and, in this context, it refers to a kind of cooking. But, rest assured, Beef Bone-In Rib Roast is what you want.   If you are really thinking ahead, you can special order a prime-quality Beef Bone-In Rib Roast. Ask your butcher when he can have you one ready by. Odds are one won't be readily available because the cost incurred is much higher than other grades. You're looking for ribs 6 through 12. If your butcher knows his meat, he'll get you one from the small end toward the back of the rib section. It's generally leaner and gives you more bang for your buck. This is usually called the first cut on the loin, or small, end, because the ribs get larger as they get closer to the shoulder.If you prefer more fat, you may want to go a different route. To help you decide, the small end is where the Ribeye steaks are produced and the large end is used for Delmonico steaks. Does that help?  ;"
5117,Cook Prime Rib,1,none,2,Choose the size of your rib roast.,"Figure about 2 people per rib. So, for six people, you'll need 3 ribs. For fourteen people, you'll need 7. If you have less than six people, you're better off going with individual steaks -- too small a slab of meat won't cook like you want it to.   Always check the date your beef was packaged. If it's been sitting around in the store for a tic, it's not good. It should have a bright red color and absolutely no dry or brown edges. If there's any damage to the wrapping, set it down and choose another option."
5118,Cook Prime Rib,2,none,3,Have your butcher tie the roast.,"You'll need the prime rib tied before roasting, so you might as well get it done right when you buy it. If it's left untied, the outer layer will overcook, pulling away from the muscle. This is totally protocol for it to be done for you, so don't be shy. However, if you forget to ask or if for some odd reason he cannot or does not, here's how:   Trim your roast of any excess fat -- but leave on a thin layer to protect it while it cooks. If it's more than 1"" (2.5 cm) thick, it's gotta go. But leave that much on to give your meal more flavor. Run the twine parallel to the bone and tie at both ends. This literally ties the meat to the bones, keeping it together. Tie around the meat in between the bones and don't forget about the chine bones on the end."
5119,Cook Prime Rib,3,none,4,Leave the roast out until it hits room temperature.,"This should take about 2-4 hours and is absolutely essential. If you don't let the roast come to room temperature, you'll regret it: It will take longer to cook your roast, your roast won't cook evenly, and you'll end up with well-done slices on the end and raw meat in the center.   The amount of time it takes greatly depends on the size of your cut. Use your best judgment on room temperature times."
5120,Cook Prime Rib,4,none,5,Set the oven to 450°F (232°C).,This is to sear the roast initially -- you will bring the temperature down after this blast of heat. Put the oven rack on a lower tier.
5121,Cook Prime Rib,5,none,6,"In a stainless-steel or metal roasting pan, place your roast.","Either ribs side down or fat side up is okay. When choosing a pan, make sure the sides are at least 3"" (7.5 cm) deep.   Nonstick pans are a waste of energy. You'll get fewer tasty bits that give your au jus or gravy flavor. And the rib bones serve as a natural rack, so you won't need a metal one."
5122,Cook Prime Rib,6,none,7,Prep the meat to your liking.,"Some people believe wholeheartedly that you should coat your roast in salt and pepper. Others swear that the salt just dries out the meat -- so avoid it all costs. This is, ultimately, up to you.   You may also find that smearing the cut ends of the roast with a couple tablespoons (30 g) of butter seals in the moisture and makes the ends more tender. Again, proceed at your own discretion."
5123,Cook Prime Rib,7,none,8,Sear the prime rib at this temperature for 15 minutes.,"Then turn the oven to 325°F (162°C) for the rest of the cooking time. Every 1/2 hour, baste the cut ends of the roast with the fat accumulated in the roasting pan. Do not cover the roast."
